Water Control Zone,River,Dates,Dissolved Oxygen (%saturation),Dissolved Oxygen (mg/L),pH,Turbidity (NTU),Water Temperature (°C)
Tolo Harbour And Channel,Lam Tsuen River,3/19/1998,110,9.5,7.4,16,22.9
Tolo Harbour And Channel,Lam Tsuen River,4/24/1998,126,9.5,8.9,3,29.6
Tolo Harbour And Channel,Lam Tsuen River,5/18/1998,129,9.4,7.4,3,31.4
Tolo Harbour And Channel,Lam Tsuen River,6/15/1998,123,8.9,7.5,2,32.5
Tolo Harbour And Channel,Lam Tsuen River,7/22/1998,136,10,7.9,24,31.1
Tolo Harbour And Channel,Lam Tsuen River,8/21/1998,219,15.3,8.8,1,34.4
Tolo Harbour And Channel,Lam Tsuen River,9/17/1998,146,10.6,8,4,31.8
Tolo Harbour And Channel,Lam Tsuen River,10/21/1998,118,9.2,7.5,3.9,28.3
Tolo Harbour And Channel,Lam Tsuen River,11/19/1998,88,7.2,7.4,5,24.8
Tolo Harbour And Channel,Lam Tsuen River,12/16/1998,125,11.3,7.4,5.2,20
Tolo Harbour And Channel,Lam Tsuen River,1/19/1998,96,10,7.3,4,13.9
Tolo Harbour And Channel,Lam Tsuen River,2/19/1998,99,8.7,7.4,18,21.4
Tolo Harbour And Channel,Lam Tsuen River,3/19/1998,103,9.2,7.4,4,20.9
Tolo Harbour And Channel,Lam Tsuen River,4/24/1998,82,6.3,7.4,2,28.1
Tolo Harbour And Channel,Lam Tsuen River,5/18/1998,100,7.9,7.4,1,27.1
Tolo Harbour And Channel,Lam Tsuen River,6/15/1998,97,7.4,7.5,3,28.8
Tolo Harbour And Channel,Lam Tsuen River,7/22/1998,100,7.6,7.7,16,28.9
Tolo Harbour And Channel,Lam Tsuen River,8/21/1998,116,8.7,7.8,1,30.4
Tolo Harbour And Channel,Lam Tsuen River,9/17/1998,105,8.1,8.2,3,29.2
Tolo Harbour And Channel,Lam Tsuen River,10/21/1998,112,9.2,7.6,1.8,25.3
Tolo Harbour And Channel,Lam Tsuen River,11/19/1998,102,8.8,7.7,1,22.9
Tolo Harbour And Channel,Lam Tsuen River,12/16/1998,114,10.9,7.7,0.2,17.7
Tolo Harbour And Channel,Lam Tsuen River,1/19/1998,95,9.9,8.3,9,14.3
Tolo Harbour And Channel,Lam Tsuen River,2/19/1998,96,8.5,7.8,50,21.1
Tolo Harbour And Channel,Lam Tsuen River,3/19/1998,105,9.4,7.4,21,20.8
Tolo Harbour And Channel,Lam Tsuen River,4/24/1998,93,7.3,7.6,5,27.2
Tolo Harbour And Channel,Lam Tsuen River,5/18/1998,93,7.5,7.4,4,26.2
Tolo Harbour And Channel,Lam Tsuen River,6/15/1998,101,7.9,7.6,4,27.6
Tolo Harbour And Channel,Lam Tsuen River,7/20/1998,105,7.9,7.4,14,29.1
Tolo Harbour And Channel,Lam Tsuen River,8/21/1998,110,8.5,7.4,1,28.1
Tolo Harbour And Channel,Lam Tsuen River,9/17/1998,111,9,7.4,2,25.6
Tolo Harbour And Channel,Lam Tsuen River,10/21/1998,110,9.4,7.5,2.4,22.7
Tolo Harbour And Channel,Lam Tsuen River,11/19/1998,104,9.2,7.5,6.5,21.4
Tolo Harbour And Channel,Lam Tsuen River,12/16/1998,118,11.4,7.5,1,17.3
Tolo Harbour And Channel,Lam Tsuen River,1/19/1998,101,10.5,7.6,3,14.2
Tolo Harbour And Channel,Lam Tsuen River,2/19/1998,101,8.9,7.6,5,21.5
Tolo Harbour And Channel,Lam Tsuen River,3/19/1998,106,9.7,7.6,1,20.1
Tolo Harbour And Channel,Lam Tsuen River,4/24/1998,86,6.9,7.3,1,25.7
Tolo Harbour And Channel,Lam Tsuen River,5/18/1998,99,8,7.6,1,25.9
Tolo Harbour And Channel,Lam Tsuen River,6/15/1998,93,7.4,7.6,2,26.7
Tolo Harbour And Channel,Lam Tsuen River,7/20/1998,99,7.7,7.6,2,27.6
Tolo Harbour And Channel,Lam Tsuen River,8/21/1998,102,7.9,7.4,1,28.4
Tolo Harbour And Channel,Lam Tsuen River,9/17/1998,110,8.7,7.8,2,27.7
Tolo Harbour And Channel,Lam Tsuen River,10/21/1998,109,9.1,7.7,0.2,24.5
Tolo Harbour And Channel,Lam Tsuen River,11/19/1998,99,8.7,7.9,1,22
Tolo Harbour And Channel,Lam Tsuen River,12/16/1998,114,11,7.8,1,17.3
Tolo Harbour And Channel,Lam Tsuen River,1/19/1998,99,10.3,8.2,8,14.2
Tolo Harbour And Channel,Lam Tsuen River,2/19/1998,97,8.4,7.7,112,22.3
Tolo Harbour And Channel,Lam Tsuen River,3/19/1998,110,9.7,8,79,21.7
Tolo Harbour And Channel,Lam Tsuen River,4/24/1998,83,6.6,7.8,776,26.7
Tolo Harbour And Channel,Lam Tsuen River,5/18/1998,95,7.5,7.9,999,27.3
Tolo Harbour And Channel,Lam Tsuen River,6/15/1998,90,6.8,7.7,563,29.7
Tolo Harbour And Channel,Lam Tsuen River,7/22/1998,90,7.3,8,999,28.5
Tolo Harbour And Channel,Lam Tsuen River,8/21/1998,97,7.2,8.2,390,30.7
Tolo Harbour And Channel,Lam Tsuen River,9/17/1998,104,7.9,8.3,64,30.6
Tolo Harbour And Channel,Lam Tsuen River,10/21/1998,103,8.4,8.4,291,25.8
Tolo Harbour And Channel,Lam Tsuen River,11/19/1998,98,8.2,8.3,65,24
Tolo Harbour And Channel,Lam Tsuen River,12/16/1998,113,9.9,8.3,12.6,21.2
Tolo Harbour And Channel,Lam Tsuen River,1/19/1998,91,9.5,8,3,14.4
Tolo Harbour And Channel,Lam Tsuen River,2/19/1998,98,8.5,7.7,5,21.9
Tolo Harbour And Channel,Lam Tsuen River,3/19/1998,100,8.9,7.5,9,21.1
Tolo Harbour And Channel,Lam Tsuen River,4/24/1998,83,6.6,7.5,3,26.6
Tolo Harbour And Channel,Lam Tsuen River,5/18/1998,96,7.7,7.6,6,26
Tolo Harbour And Channel,Lam Tsuen River,6/15/1998,94,7.3,7.7,4,28.3
Tolo Harbour And Channel,Lam Tsuen River,7/20/1998,101,7.8,7.6,5,28.1
Tolo Harbour And Channel,Lam Tsuen River,8/21/1998,101,7.9,7.5,1,28
Tolo Harbour And Channel,Lam Tsuen River,9/17/1998,111,8.8,7.8,3,27.4
Tolo Harbour And Channel,Lam Tsuen River,10/21/1998,105,9,7.6,1.8,23.7
Tolo Harbour And Channel,Lam Tsuen River,11/19/1998,99,8.7,7.5,1,21.5
Tolo Harbour And Channel,Lam Tsuen River,12/16/1998,113,10.1,7.6,1,17.7
Tolo Harbour And Channel,Lam Tsuen River,1/19/1998,91,9.6,7.8,4,13.9
Tolo Harbour And Channel,Lam Tsuen River,2/19/1998,90,8,7.5,5,20.8
Tolo Harbour And Channel,Lam Tsuen River,3/19/1998,101,9,7.5,9,21.3
Tolo Harbour And Channel,Lam Tsuen River,4/24/1998,77,6.2,7.3,6,25.8
Tolo Harbour And Channel,Lam Tsuen River,5/18/1998,82,6.7,7.2,4,25.2
Tolo Harbour And Channel,Lam Tsuen River,6/15/1998,88,6.9,7.5,6,27.9
Tolo Harbour And Channel,Lam Tsuen River,7/20/1998,90,7.2,7.2,5,26.4
Tolo Harbour And Channel,Lam Tsuen River,8/21/1998,89,7,7.1,1,27.3
Tolo Harbour And Channel,Lam Tsuen River,9/17/1998,103,8.1,7.5,3,28
Tolo Harbour And Channel,Lam Tsuen River,10/21/1998,96,8.1,7.3,4.1,24.5
Tolo Harbour And Channel,Lam Tsuen River,11/19/1998,90,8,7.4,2,21.9
Tolo Harbour And Channel,Lam Tsuen River,12/16/1998,107,10.3,7.5,1,17.4
Tolo Harbour And Channel,Lam Tsuen River,1/19/1998,98,10.3,7.6,3,13.9
Tolo Harbour And Channel,Lam Tsuen River,2/19/1998,99,8.6,7.5,5,21.9
Tolo Harbour And Channel,Lam Tsuen River,3/19/1998,101,9.1,7.5,2,20.7
Tolo Harbour And Channel,Lam Tsuen River,4/24/1998,85,6.9,7.4,2,25.2
Tolo Harbour And Channel,Lam Tsuen River,5/18/1998,98,8,7.4,2,25.9
Tolo Harbour And Channel,Lam Tsuen River,6/15/1998,93,7.4,7.7,3,27.2
Tolo Harbour And Channel,Lam Tsuen River,7/20/1998,101,7.8,7.5,3,28.4
Tolo Harbour And Channel,Lam Tsuen River,8/21/1998,102,7.8,7.4,1,28.6
Tolo Harbour And Channel,Lam Tsuen River,9/17/1998,104,8.3,7.9,4,28.2
Tolo Harbour And Channel,Lam Tsuen River,10/21/1998,103,8.7,7.5,1.2,24
Tolo Harbour And Channel,Lam Tsuen River,11/19/1998,99,8.7,7.7,1,21.8
Tolo Harbour And Channel,Lam Tsuen River,12/16/1998,112,10.9,7.7,1,17.5
Tolo Harbour And Channel,Lam Tsuen River,1/19/1998,15,1.4,7.2,11,16.1
Tolo Harbour And Channel,Lam Tsuen River,2/19/1998,19,1.6,7,18,22.9
Tolo Harbour And Channel,Lam Tsuen River,3/19/1998,40,3.5,7.1,43,21.8
Tolo Harbour And Channel,Lam Tsuen River,4/24/1998,6,0.5,7.3,27,26.9
Tolo Harbour And Channel,Lam Tsuen River,5/18/1998,6,0.4,7.1,25,29.2
Tolo Harbour And Channel,Lam Tsuen River,6/15/1998,51,3.4,7.3,9,30.2
Tolo Harbour And Channel,Lam Tsuen River,7/22/1998,54,3.7,7.3,31,30.1
Tolo Harbour And Channel,Lam Tsuen River,8/21/1998,5,0.3,7.3,9,32.6
Tolo Harbour And Channel,Lam Tsuen River,9/17/1998,69,5,7.3,15,31.5
Tolo Harbour And Channel,Lam Tsuen River,10/21/1998,93,6.7,7.8,10,27.2
Tolo Harbour And Channel,Lam Tsuen River,11/19/1998,65,4.8,7.3,7.3,25.1
Tolo Harbour And Channel,Lam Tsuen River,12/16/1998,59,4.8,7.2,6,21.1
Tolo Harbour And Channel,Tai Po River,1/16/1998,87,8.6,7.2,5,15.7
Tolo Harbour And Channel,Tai Po River,2/20/1998,97,8.5,7.5,5,22
Tolo Harbour And Channel,Tai Po River,3/20/1998,104,8.9,8,3,22.9
Tolo Harbour And Channel,Tai Po River,4/27/1998,87,7.3,7.1,14,23.2
Tolo Harbour And Channel,Tai Po River,5/20/1998,103,8,7.5,4,26
Tolo Harbour And Channel,Tai Po River,6/19/1998,95,7.8,7.4,163,25.4
Tolo Harbour And Channel,Tai Po River,7/22/1998,96,7.6,7.1,5,27
Tolo Harbour And Channel,Tai Po River,8/24/1998,100,7.9,7,4,26.9
Tolo Harbour And Channel,Tai Po River,9/18/1998,118,9.8,7.3,3,26.5
Tolo Harbour And Channel,Tai Po River,10/22/1998,101,8.6,7.3,3.7,23.9
Tolo Harbour And Channel,Tai Po River,11/20/1998,99,8.7,7.4,1.7,22.3
Tolo Harbour And Channel,Tai Po River,12/17/1998,97,9.2,7.3,1,18.3
Tolo Harbour And Channel,Tai Po Kau Stream,1/16/1998,89,8.8,7.2,36,15.9
Tolo Harbour And Channel,Tai Po Kau Stream,2/20/1998,96,8.6,7.5,10,20.9
Tolo Harbour And Channel,Tai Po Kau Stream,3/20/1998,101,8.9,9.4,14,22.3
Tolo Harbour And Channel,Tai Po Kau Stream,4/27/1998,83,7,6.6,16,22.6
Tolo Harbour And Channel,Tai Po Kau Stream,5/20/1998,97,7.7,7.3,11,24.7
Tolo Harbour And Channel,Tai Po Kau Stream,6/19/1998,95,7.7,7.4,101,25.2
Tolo Harbour And Channel,Tai Po Kau Stream,7/22/1998,98,7.7,7.6,4,27.2
Tolo Harbour And Channel,Tai Po Kau Stream,8/24/1998,100,8,7.6,1,26.3
Tolo Harbour And Channel,Tai Po Kau Stream,9/18/1998,113,9.1,7.5,24,25.8
Tolo Harbour And Channel,Tai Po Kau Stream,10/22/1998,101,8.7,7.5,8,22.6
Tolo Harbour And Channel,Tai Po Kau Stream,11/20/1998,104,9.1,7.6,15.1,21.3
Tolo Harbour And Channel,Tai Po Kau Stream,12/17/1998,102,9.8,7.8,8.3,17.1
Tolo Harbour And Channel,Shing Mun River,1/21/1998,75,7.6,6.6,22,15.1
Tolo Harbour And Channel,Shing Mun River,2/18/1998,103,9.5,8.1,33,19.3
Tolo Harbour And Channel,Shing Mun River,3/18/1998,84,7.7,7.5,67,18.5
Tolo Harbour And Channel,Shing Mun River,4/23/1998,95,7.6,8.8,5,25.6
Tolo Harbour And Channel,Shing Mun River,5/22/1998,99,8.2,7.9,94,24.8
Tolo Harbour And Channel,Shing Mun River,6/12/1998,102,8.2,7.8,10,26.3
Tolo Harbour And Channel,Shing Mun River,7/27/1998,106,7.9,7.9,22,30.2
Tolo Harbour And Channel,Shing Mun River,8/20/1998,97,7.3,7.9,13,30.1
Tolo Harbour And Channel,Shing Mun River,9/16/1998,113,8.8,7.4,10,26.8
Tolo Harbour And Channel,Shing Mun River,10/19/1998,108,8.8,8.2,7,25.7
Tolo Harbour And Channel,Shing Mun River,11/18/1998,103,8.6,8.7,4.4,24.1
Tolo Harbour And Channel,Shing Mun River,12/14/1998,132,12.7,7.6,5,17.2
Tolo Harbour And Channel,Shing Mun River,1/21/1998,31,2.9,6.6,12,14
Tolo Harbour And Channel,Shing Mun River,2/18/1998,78,7.1,7.5,14,19.3
Tolo Harbour And Channel,Shing Mun River,3/18/1998,75,7.4,7.2,12,18.7
Tolo Harbour And Channel,Shing Mun River,4/23/1998,30,2.3,7.4,9,25.4
Tolo Harbour And Channel,Shing Mun River,5/22/1998,72,5.6,7.3,20,26.3
Tolo Harbour And Channel,Shing Mun River,6/12/1998,81,6.2,7.4,4,27.1
Tolo Harbour And Channel,Shing Mun River,7/27/1998,74,5.2,7.7,5,28.7
Tolo Harbour And Channel,Shing Mun River,8/20/1998,78,5.3,7,9,30.3
Tolo Harbour And Channel,Shing Mun River,9/16/1998,107,8.2,7.2,4,28.1
Tolo Harbour And Channel,Shing Mun River,10/19/1998,101,7.4,7.9,8.8,26.4
Tolo Harbour And Channel,Shing Mun River,11/18/1998,74,5.4,7.7,4,24.7
Tolo Harbour And Channel,Shing Mun River,12/14/1998,152,13.6,7.7,2,17.7
Tolo Harbour And Channel,Tai Wai Nullah,1/21/1998,98,9.1,6.7,9,17.6
Tolo Harbour And Channel,Tai Wai Nullah,2/18/1998,97,9,6.8,28,19.1
Tolo Harbour And Channel,Tai Wai Nullah,3/18/1998,112,10.1,7.3,16,19.2
Tolo Harbour And Channel,Tai Wai Nullah,4/23/1998,163,11.8,7.5,7,29.6
Tolo Harbour And Channel,Tai Wai Nullah,5/22/1998,105,8.4,7.2,4,26.2
Tolo Harbour And Channel,Tai Wai Nullah,6/12/1998,96,7.6,7.1,12,27.3
Tolo Harbour And Channel,Tai Wai Nullah,7/27/1998,141,10.4,7.7,5,30.9
Tolo Harbour And Channel,Tai Wai Nullah,8/20/1998,137,10.2,7.6,9,30.4
Tolo Harbour And Channel,Tai Wai Nullah,9/16/1998,130,9.9,7.6,3,29.7
Tolo Harbour And Channel,Tai Wai Nullah,10/19/1998,136,10.5,7.6,5.7,27.5
Tolo Harbour And Channel,Tai Wai Nullah,11/18/1998,124,10.3,2.8,4,24.4
Tolo Harbour And Channel,Tai Wai Nullah,12/14/1998,136,12.8,7.7,2,17.9
Tolo Harbour And Channel,Tai Wai Nullah,1/21/1998,125,12.2,8.4,4,16.8
Tolo Harbour And Channel,Tai Wai Nullah,2/18/1998,99,9.1,7.4,24,19.1
Tolo Harbour And Channel,Tai Wai Nullah,3/18/1998,122,10.5,8.3,5,19.1
Tolo Harbour And Channel,Tai Wai Nullah,4/23/1998,127,9.5,8.7,3,29.7
Tolo Harbour And Channel,Tai Wai Nullah,5/22/1998,105,8.5,7.7,3,26
Tolo Harbour And Channel,Tai Wai Nullah,6/12/1998,102,8.1,7.5,5,27.3
Tolo Harbour And Channel,Tai Wai Nullah,7/27/1998,105,10.3,8.3,4,31.4
Tolo Harbour And Channel,Tai Wai Nullah,8/20/1998,136,10,8.6,7,30.9
Tolo Harbour And Channel,Tai Wai Nullah,9/16/1998,133,9.9,8.4,5,31
Tolo Harbour And Channel,Tai Wai Nullah,10/19/1998,127,9.9,8.4,7.9,28
Tolo Harbour And Channel,Tai Wai Nullah,11/18/1998,119,10,7.9,1,23.9
Tolo Harbour And Channel,Tai Wai Nullah,12/14/1998,146,13.8,7.8,1,17.3
Tolo Harbour And Channel,Tai Wai Nullah,1/21/1998,96,9.1,7.5,9,17.4
Tolo Harbour And Channel,Tai Wai Nullah,2/18/1998,98,9.1,7.2,29,19.1
Tolo Harbour And Channel,Tai Wai Nullah,3/18/1998,100,9.1,6.8,9,18.9
Tolo Harbour And Channel,Tai Wai Nullah,4/23/1998,123,9.3,7.6,4,28.2
Tolo Harbour And Channel,Tai Wai Nullah,5/22/1998,99,8,7.4,3,25.7
Tolo Harbour And Channel,Tai Wai Nullah,6/12/1998,98,7.7,7.3,6,27.5
Tolo Harbour And Channel,Tai Wai Nullah,7/27/1998,113,9.2,7.7,5,30.1
Tolo Harbour And Channel,Tai Wai Nullah,8/20/1998,127,9.6,7.7,9,29.5
Tolo Harbour And Channel,Tai Wai Nullah,9/16/1998,127,9.7,7.7,4,29.9
Tolo Harbour And Channel,Tai Wai Nullah,10/19/1998,126,10,7.5,3.7,27.1
Tolo Harbour And Channel,Tai Wai Nullah,11/18/1998,107,9,7,2,23.9
Tolo Harbour And Channel,Tai Wai Nullah,12/14/1998,138,13,7.6,6,17.8
Tolo Harbour And Channel,Shing Mun River,1/21/1998,59,5.5,7.2,5,13.8
Tolo Harbour And Channel,Shing Mun River,2/18/1998,77,6.9,7.5,18,19.1
Tolo Harbour And Channel,Shing Mun River,3/18/1998,62,5.7,7.2,3,18.5
Tolo Harbour And Channel,Shing Mun River,4/23/1998,40,2.8,8,3,24.8
Tolo Harbour And Channel,Shing Mun River,5/22/1998,28,2.2,7.3,7,26.6
Tolo Harbour And Channel,Shing Mun River,6/12/1998,64,4.5,7.8,3,27.3
Tolo Harbour And Channel,Shing Mun River,7/27/1998,91,6,7.9,4,27.5
Tolo Harbour And Channel,Shing Mun River,8/20/1998,155,10.1,7.6,10,31.5
Tolo Harbour And Channel,Shing Mun River,9/16/1998,138,10.3,8,4,28.7
Tolo Harbour And Channel,Shing Mun River,10/19/1998,113,7.9,8.2,6.4,26.5
Tolo Harbour And Channel,Shing Mun River,11/18/1998,102,7.2,7.9,5,24.7
Tolo Harbour And Channel,Shing Mun River,12/14/1998,149,12.6,7.9,2,17.4
Tolo Harbour And Channel,Tin Sum Nullah,1/21/1998,97,9.2,7.5,7,18.4
Tolo Harbour And Channel,Tin Sum Nullah,2/18/1998,99,9.3,5.7,75,18.5
Tolo Harbour And Channel,Tin Sum Nullah,3/18/1998,96,8.6,6.1,18,18.4
Tolo Harbour And Channel,Tin Sum Nullah,4/23/1998,87,7.1,4.8,5,24.9
Tolo Harbour And Channel,Tin Sum Nullah,5/22/1998,94,7.7,6.3,6,25.6
Tolo Harbour And Channel,Tin Sum Nullah,6/12/1998,95,7.8,7.1,5,25.3
Tolo Harbour And Channel,Tin Sum Nullah,7/27/1998,95,7.3,7.8,4,28.7
Tolo Harbour And Channel,Tin Sum Nullah,8/20/1998,96,7.4,7.5,8,28.5
Tolo Harbour And Channel,Tin Sum Nullah,9/16/1998,112,8.8,7.7,2,28.2
Tolo Harbour And Channel,Tin Sum Nullah,10/19/1998,104,8.3,7.6,8.4,26.7
Tolo Harbour And Channel,Tin Sum Nullah,11/18/1998,97,8.1,8.4,2,24.5
Tolo Harbour And Channel,Tin Sum Nullah,12/14/1998,139,13,8.2,2,18.4
Tolo Harbour And Channel,Siu Lek Yuen Nullah,1/21/1998,74,7.4,8,7,14.6
Tolo Harbour And Channel,Siu Lek Yuen Nullah,2/18/1998,89,8.1,8.4,30,18.9
Tolo Harbour And Channel,Siu Lek Yuen Nullah,3/18/1998,64,5.9,8,6,18.6
Tolo Harbour And Channel,Siu Lek Yuen Nullah,4/23/1998,42,3.2,8.8,6,24.8
Tolo Harbour And Channel,Siu Lek Yuen Nullah,5/22/1998,74,5.8,8.1,6,25.6
Tolo Harbour And Channel,Siu Lek Yuen Nullah,6/12/1998,32,2.5,8.1,7,25.8
Tolo Harbour And Channel,Siu Lek Yuen Nullah,7/27/1998,100,7.4,8.6,14,27.9
Tolo Harbour And Channel,Siu Lek Yuen Nullah,8/20/1998,74,5.1,7.8,10,29.8
Tolo Harbour And Channel,Siu Lek Yuen Nullah,9/16/1998,108,8.2,8.1,9,28.6
Tolo Harbour And Channel,Siu Lek Yuen Nullah,10/19/1998,92,6.9,8,3.1,26
Tolo Harbour And Channel,Siu Lek Yuen Nullah,11/18/1998,81,6.4,8.5,11,24.5
Tolo Harbour And Channel,Siu Lek Yuen Nullah,12/14/1998,126,11.3,8.1,1.3,17.3
Tolo Harbour And Channel,Siu Lek Yuen Nullah,1/21/1998,100,9.8,8.6,3,16.6
Tolo Harbour And Channel,Siu Lek Yuen Nullah,2/18/1998,99,9.2,8.2,44,19
Tolo Harbour And Channel,Siu Lek Yuen Nullah,3/18/1998,114,10.3,8.6,8,20.5
Tolo Harbour And Channel,Siu Lek Yuen Nullah,4/23/1998,105,8.4,8.8,1,26.1
Tolo Harbour And Channel,Siu Lek Yuen Nullah,5/22/1998,97,8,7.8,4,24.8
Tolo Harbour And Channel,Siu Lek Yuen Nullah,6/12/1998,99,7.9,7.8,3,26.5
Tolo Harbour And Channel,Siu Lek Yuen Nullah,7/27/1998,102,7.7,8.5,4,30.2
Tolo Harbour And Channel,Siu Lek Yuen Nullah,8/20/1998,113,8.5,8.1,7,30.1
Tolo Harbour And Channel,Siu Lek Yuen Nullah,9/16/1998,121,9.4,8.4,24,28.5
Tolo Harbour And Channel,Siu Lek Yuen Nullah,10/19/1998,117,9.4,8.8,8.9,26.7
Tolo Harbour And Channel,Siu Lek Yuen Nullah,11/18/1998,107,8.7,8.9,6,25.8
Tolo Harbour And Channel,Siu Lek Yuen Nullah,12/14/1998,157,14.7,8.9,1,18.1
Tolo Harbour And Channel,Shan Liu Stream,1/16/1998,86,8.3,8.1,4,17
Tolo Harbour And Channel,Shan Liu Stream,2/20/1998,85,7.5,8.1,202,21.2
Tolo Harbour And Channel,Shan Liu Stream,3/20/1998,83,7.1,7.1,92,23.4
Tolo Harbour And Channel,Shan Liu Stream,4/27/1998,74,6.3,7.4,28,23.1
Tolo Harbour And Channel,Shan Liu Stream,5/20/1998,95,7.4,7.2,9,26
Tolo Harbour And Channel,Shan Liu Stream,6/19/1998,83,6.7,7.2,69,25.7
Tolo Harbour And Channel,Shan Liu Stream,7/22/1998,95,7.1,7.5,6,29.6
Tolo Harbour And Channel,Shan Liu Stream,8/24/1998,98,7.5,7.4,2,28.9
Tolo Harbour And Channel,Shan Liu Stream,9/18/1998,114,9.1,7.6,5,28.9
Tolo Harbour And Channel,Shan Liu Stream,10/22/1998,102,8.3,7.5,4,25.4
Tolo Harbour And Channel,Shan Liu Stream,11/20/1998,101,8.1,7.3,1.3,24.1
Tolo Harbour And Channel,Shan Liu Stream,12/17/1998,86,7.9,7.3,1,19.6
Tolo Harbour And Channel,Tung Tze Stream,1/16/1998,72,5.8,7.5,5,17.8
Tolo Harbour And Channel,Tung Tze Stream,2/20/1998,76,6,7.7,11,20.9
Tolo Harbour And Channel,Tung Tze Stream,3/20/1998,83,6.3,7.7,14,23
Tolo Harbour And Channel,Tung Tze Stream,4/27/1998,68,5.3,7.5,9,24.3
Tolo Harbour And Channel,Tung Tze Stream,5/20/1998,77,5.9,7.4,9,26.8
Tolo Harbour And Channel,Tung Tze Stream,6/19/1998,78,6.3,7.3,79,25.9
Tolo Harbour And Channel,Tung Tze Stream,7/22/1998,102,7,7.7,10,31.6
Tolo Harbour And Channel,Tung Tze Stream,8/24/1998,96,6.4,7.9,3,31.2
Tolo Harbour And Channel,Tung Tze Stream,9/18/1998,115,8.5,7.5,8,29.3
Tolo Harbour And Channel,Tung Tze Stream,10/22/1998,87,6,7.9,3.8,26.6
Deep Bay,Tin Shui Wai Nullah,1/5/1998,18,1.7,7.6,42,16.7
Deep Bay,Tin Shui Wai Nullah,2/5/1998,58,6.3,7.9,83,12.6
Deep Bay,Tin Shui Wai Nullah,3/4/1998,42,3.9,7.6,63,18.5
Deep Bay,Tin Shui Wai Nullah,4/3/1998,133,11,8,22,24.7
Deep Bay,Tin Shui Wai Nullah,5/4/1998,97,7.5,7.4,173.2,26.1
Deep Bay,Tin Shui Wai Nullah,6/3/1998,5,0.4,7.3,174,28.9
Deep Bay,Tin Shui Wai Nullah,7/6/1998,90,7.1,7.5,12,27.3
Deep Bay,Tin Shui Wai Nullah,8/5/1998,91,6.8,7.8,12,30
Deep Bay,Tin Shui Wai Nullah,9/3/1998,89,6.9,7.6,24.5,29.5
Deep Bay,Tin Shui Wai Nullah,10/8/1998,37,2.8,7.2,13,29.2
Deep Bay,Tin Shui Wai Nullah,11/4/1998,32,2.7,7.4,44,24.9
Deep Bay,Tin Shui Wai Nullah,12/3/1998,72,6.6,7.5,80,19.2
Deep Bay,Tin Shui Wai Nullah,1/5/1998,109,10.3,7.9,18,17.5
Deep Bay,Tin Shui Wai Nullah,2/5/1998,94,10.1,7.7,37,12.7
Deep Bay,Tin Shui Wai Nullah,3/4/1998,95,9,7.7,60,18.2
Deep Bay,Tin Shui Wai Nullah,4/3/1998,134,10.5,8.5,31,27.5
Deep Bay,Tin Shui Wai Nullah,5/4/1998,106,8.6,7.4,540,25.7
Deep Bay,Tin Shui Wai Nullah,6/3/1998,95,7.5,7.5,640,27.1
Deep Bay,Tin Shui Wai Nullah,7/6/1998,100,8,7.7,8,26.4
Deep Bay,Tin Shui Wai Nullah,8/5/1998,122,8.7,8.5,11,32.8
Deep Bay,Tin Shui Wai Nullah,9/3/1998,111,8.3,8.5,34.1,30.6
Deep Bay,Tin Shui Wai Nullah,10/8/1998,109,8.2,7.7,15,30.3
Deep Bay,Tin Shui Wai Nullah,11/4/1998,135,10.8,8.3,9,27.1
Deep Bay,Tin Shui Wai Nullah,12/3/1998,116,10.9,7.7,74,18.1
Victoria Harbour,Sam Dip Tam Stream,1/7/1998,85,7.9,7.9,999,19.5
Victoria Harbour,Sam Dip Tam Stream,2/6/1998,85,8.8,7.8,101,14.2
Victoria Harbour,Sam Dip Tam Stream,3/5/1998,88,8,8.1,999,20.1
Victoria Harbour,Sam Dip Tam Stream,4/16/1998,80,6.7,7.9,219,23.1
Victoria Harbour,Sam Dip Tam Stream,5/6/1998,77,6.4,7.6,11,24.4
Victoria Harbour,Sam Dip Tam Stream,6/5/1998,89,7.2,7.6,8,25.6
Victoria Harbour,Sam Dip Tam Stream,7/8/1998,88,7,7.7,127,26.6
Victoria Harbour,Sam Dip Tam Stream,8/6/1998,65,6.5,7.4,112,27.5
Victoria Harbour,Sam Dip Tam Stream,9/4/1998,88,7,7.9,24,27.1
Victoria Harbour,Sam Dip Tam Stream,10/12/1998,90,7.1,7.5,59,26.8
Victoria Harbour,Sam Dip Tam Stream,11/5/1998,90,7.7,7.8,4,23.5
Victoria Harbour,Sam Dip Tam Stream,12/7/1998,63,5.6,7.8,3.4,20.7
Victoria Harbour,Sam Dip Tam Stream,1/7/1998,88,8.2,7.6,288,19.2
Victoria Harbour,Sam Dip Tam Stream,2/6/1998,90,9.5,7.8,200,13.4
Victoria Harbour,Sam Dip Tam Stream,3/5/1998,91,8.2,7.8,40,20.4
Victoria Harbour,Sam Dip Tam Stream,4/16/1998,66,5.5,7.9,169,23.9
Victoria Harbour,Sam Dip Tam Stream,5/6/1998,94,7.6,7.8,18,26
Victoria Harbour,Sam Dip Tam Stream,6/5/1998,92,7.4,7.6,10,26.5
Victoria Harbour,Sam Dip Tam Stream,7/8/1998,95,7.5,7.7,24,27
Victoria Harbour,Sam Dip Tam Stream,8/6/1998,82,6.4,8.1,3,27.6
